Name	URL	Org	What It Does	Type	Category	Subcategory	License	Stars	Last Updated	Needs GPU	Runs On 4GB Server	Free	Already On SpaceBot	Lego Flags	Notes
Qwen	https://github.com/QwenLM/Qwen	QwenLM	Official repository for the original Qwen chat and pretrained large language model family.	Model	Language Models (LLM)	General-purpose LLM	Apache-2.0	21k	2026-03-05	Yes	No	Yes	No	Qwen3;Qwen-Agent;QwQ;ms-swift;DashScope API	Older generation repo; GitHub notes it is no longer actively maintained.
Qwen3	https://github.com/QwenLM/Qwen3	QwenLM	Official repository for the Qwen3 large language model series.	Model	Language Models (LLM)	General-purpose LLM	Apache-2.0	27k	2026-01-09	Yes	No	Yes	No	Qwen3.6;Qwen3-Coder;Qwen3-VL;Qwen3-Omni;Qwen-Agent;ms-swift;DashScope API	Core open-weight Qwen3 family.
Qwen3.6	https://github.com/QwenLM/Qwen3.6	QwenLM	Official repository for the Qwen3.6 language model series.	Model	Language Models (LLM)	General-purpose LLM	Apache-2.0	2.9k	2026-04-16	Yes	No	Yes	No	Qwen3;Qwen3-Coder;qwen-code;DashScope API	Newer flagship open family in the org.
QwQ	https://github.com/QwenLM/QwQ	QwenLM	Official repository for Qwen's reasoning-focused model series.	Model	Language Models (LLM)	Reasoning LLM	Apache-2.0	516	2025-03-27	Yes	No	Yes	No	Qwen;Qwen-Agent;Qwen2.5-Math;DashScope API	Reasoning-first line; strong overlap with tool-use demos.
Qwen2.5-Math	https://github.com/QwenLM/Qwen2.5-Math	QwenLM	Math-specialized Qwen2-series models supporting chain-of-thought and tool-integrated reasoning.	Model	Language Models (LLM)	Math Reasoning	Apache-2.0	unknown	2026-02-16	Yes	No	Yes	No	Qwen-Agent;QwQ;PolyMath;ProcessBench	Local demo explicitly references Qwen-Agent for TIR.
qwen3-max	https://www.alibabacloud.com/help/en/model-studio/models	DashScope API	Alibaba Cloud's top-tier proprietary Qwen API model for complex reasoning and large-context work.	API	Language Models (LLM)	Flagship Hosted LLM	Proprietary API	-	2026-04-01	API-only	API-only	Freemium	Yes	DashScope API;Qwen-Agent;AgentScope;DeepResearch;SpaceBot Dorylus	Confirmed in Alibaba Cloud Model Studio docs.
qwen3.5-plus	https://www.alibabacloud.com/help/en/model-studio/models	DashScope API	Balanced hosted Qwen model with very large context and multimodal input support.	API	Language Models (LLM)	Balanced Hosted LLM	Proprietary API	-	2026-04-01	API-only	API-only	Freemium	No	DashScope API;AgentScope;Qwen-Agent	Docs state it supports text image and video inputs.
qwen3.5-flash	https://www.alibabacloud.com/help/en/model-studio/models	DashScope API	Fast low-cost hosted Qwen model for simple or high-throughput tasks.	API	Language Models (LLM)	Fast Hosted LLM	Proprietary API	-	2026-04-01	API-only	API-only	Freemium	No	DashScope API;Qwen-Agent;AgentScope	Hosted-only model family in Model Studio.
Qwen3-VL	https://github.com/QwenLM/Qwen3-VL	QwenLM	Official multimodal Qwen3 vision-language model family for image and video understanding and visual agent tasks.	Model	Vision & Multimodal	Vision-Language Model	Apache-2.0	19k	2026-01-30	Yes	No	Yes	No	Qwen3;Qwen-Agent;Qwen3-Coder;ms-swift;Qwen3-VL-Embedding	Repo text explicitly mentions visual agent and visual coding boosts.
Qwen3-Omni	https://github.com/QwenLM/Qwen3-Omni	QwenLM	Official end-to-end omni-modal Qwen model handling text audio image and video with real-time speech output.	Model	Vision & Multimodal	Omni-Modal Model	Apache-2.0	3.7k	2026-01-08	Yes	No	Yes	No	Qwen3;Qwen3-VL;Qwen3-TTS;Qwen3-ASR;ms-swift;DashScope API	Bridges multimodal understanding with speech generation.
