# artifact=PW7404-1122
# base_head=aa758aa4f63a91e072e2944c733310d9ab8ffdaa
# branch=main
# coalesced_status_entries=385
# expanded_status_files=538
status	path	original_path	type	index_mode	worktree_mode	mode_changed	material_diff	bytes	sha256	classification	source_candidate	runtime_package	secret_shape_labels	rationale
??	.codex/actions/pw-0704-audit-spacebot-ai-lane.md		file		100644	false	n/a	845	b53d67b980563137ce63c72305b128eb95685180d6407700ef170f9455a2557e	KEEP_CANDIDATE	yes	review		Static verifier, generator, lock, package metadata, or bounded support source
??	.codex/actions/pw-0704-closeout-spacebot.md		file		100644	false	n/a	610	ae9fcd3dfec8fed8b322372be727f0006f6c28a567c26ea71b1a67f831106479	KEEP_CANDIDATE	yes	review		Static verifier, generator, lock, package metadata, or bounded support source
??	.codex/actions/pw-0704-setup-spacebot.md		file		100644	false	n/a	797	01c03caf2e79c061c1d37619536b6790b62c7d77905b9e943ffad372d036fa31	KEEP_CANDIDATE	yes	review		Static verifier, generator, lock, package metadata, or bounded support source
??	.codex/actions/pw-0704-verify-spacebot-slice.md		file		100644	false	n/a	707	592feaa10cd956578c156c7228f4d54ddf454822519526d2af6c6d06804af930	KEEP_CANDIDATE	yes	review		Static verifier, generator, lock, package metadata, or bounded support source
??	.codex/config.toml		file		100644	false	n/a	84	bc5ccd775c4f671d0fe27386ddabc74f4b496ea79f861ab0ec412880c0c72e8d	KEEP_CANDIDATE	yes	review		Static verifier, generator, lock, package metadata, or bounded support source
??	.codex/releases/PW7404-1023-production-db-preflight-20260710.txt		file		100644	false	n/a	497	44a0a2891ed8db667b082cae3536e26f5b7c087517c1a14fe621fda9d668aee4	ARCHIVE_EVIDENCE	yes	no		Historical release path, checksum, config, or baseline evidence
??	.codex/releases/PW7404-1023-spacebot-nginx-before-20260710.conf		file		100644	false	n/a	2750	a36b593a559c518e580ee04539aa1ed9ebd6a3eb8a81db7a29f03383a8618a55	ARCHIVE_EVIDENCE	yes	no		Historical release path, checksum, config, or baseline evidence
??	.codex/releases/PW7404-1023-spacebot-nginx-maintenance-20260710.conf		file		100644	false	n/a	3151	8a25135be2fbe2df145dacbaca31ea3ab2a73b0f511949e967ac0f03cb75d733	ARCHIVE_EVIDENCE	yes	no		Historical release path, checksum, config, or baseline evidence
??	.codex/releases/PW7404-1023-spacebot-release-20260710-r2.sha256		file		100644	false	n/a	7367	dcaf860bec51f28824c123677b66ee4c3acf904ceea4086c5ea098f63280c187	ARCHIVE_EVIDENCE	yes	no		Historical release path, checksum, config, or baseline evidence
??	.codex/releases/PW7404-1023-spacebot-release-20260710-r2.tar.gz		file		100644	false	n/a	104229	8f622786284ef7390f5806b9e436542b12720ef41ae3111b27a3194edf50a9c8	SENSITIVE_QUARANTINE	no	no		Credential-shaped release bundle or private duplicate evidence requires quarantine
??	.codex/releases/PW7404-1023-spacebot-release-20260710-r3.sha256		file		100644	false	n/a	7978	b650228e338d736d8aca02a2dc932ec4f21abf529b460535c43d6ca52ee7e9c8	ARCHIVE_EVIDENCE	yes	no		Historical release path, checksum, config, or baseline evidence
??	.codex/releases/PW7404-1023-spacebot-release-20260710-r3.tar.gz		file		100644	false	n/a	293675	447ff215f8233cc33515ba11fa0e54533a6775136e67d1b976a74f35ed4bd5d5	SENSITIVE_QUARANTINE	no	no		Credential-shaped release bundle or private duplicate evidence requires quarantine
??	.codex/releases/PW7404-1023-spacebot-release-20260710-r4.sha256		file		100644	false	n/a	7978	f25e8c74b6bad9330c55b7726f667b7581b665f786dc7da038076fe24d1bfe37	ARCHIVE_EVIDENCE	yes	no		Historical release path, checksum, config, or baseline evidence
??	.codex/releases/PW7404-1023-spacebot-release-20260710-r4.tar.gz		file		100644	false	n/a	293722	22e467f0abfd38900937c23cd7f5ac91a8a72100137df9a1ff1643cc5ff5e5ea	SENSITIVE_QUARANTINE	no	no		Credential-shaped release bundle or private duplicate evidence requires quarantine
??	.codex/releases/PW7404-1023-spacebot-release-20260710-r5.sha256		file		100644	false	n/a	7978	3cccf3d50de11bfb77cd4b556fb7c1bcdb32ddd7812dcf0068260f57642374c3	ARCHIVE_EVIDENCE	yes	no		Historical release path, checksum, config, or baseline evidence
??	.codex/releases/PW7404-1023-spacebot-release-20260710-r5.tar.gz		file		100644	false	n/a	293753	aa3fb8dadfcdbeec25b077c87e4789fafb621e42e03e959b2cf08158c885d4a4	SENSITIVE_QUARANTINE	no	no		Credential-shaped release bundle or private duplicate evidence requires quarantine
??	.codex/releases/PW7404-1023-spacebot-release-20260710.sha256		file		100644	false	n/a	7367	dcaf860bec51f28824c123677b66ee4c3acf904ceea4086c5ea098f63280c187	ARCHIVE_EVIDENCE	yes	no		Historical release path, checksum, config, or baseline evidence
??	.codex/releases/PW7404-1023-spacebot-release-20260710.tar.gz		file		100644	false	n/a	104229	18f3bf2f3be6da9fb524559a7324886c23f736bc86c032def1be93be41b1fd0e	SENSITIVE_QUARANTINE	no	no		Credential-shaped release bundle or private duplicate evidence requires quarantine
??	.codex/releases/PW7404-1024-spacebot-agent-identity-release-20260710-r1.tar.gz		file		100644	false	n/a	15808	45c6d0abfe2ef03df5d34b8aa7dcd617c66df8557989d61eac6c5d7b2fec2390	SENSITIVE_QUARANTINE	no	no		Credential-shaped release bundle or private duplicate evidence requires quarantine
??	.codex/releases/PW7404-1025-spacebot-canonical-identity-release-20260710-r1.tar.gz		file		100644	false	n/a	30448	eb6a656b7ffdba808539918e258e87c60cc88b4de3fceb066dcce5ab2f922d7b	SENSITIVE_QUARANTINE	no	no		Credential-shaped release bundle or private duplicate evidence requires quarantine
??	.codex/releases/PW7404-1025-spacebot-canonical-identity-release-20260710-r2.tar.gz		file		100644	false	n/a	32989	6dbb4e9d5920d6d53f80e04f4ba8553fdbb99c48800348b1c3a9e9f614a06d08	SENSITIVE_QUARANTINE	no	no		Credential-shaped release bundle or private duplicate evidence requires quarantine
??	.codex/releases/PW7404-1025-spacebot-canonical-identity-release-20260710-r3.tar.gz		file		100644	false	n/a	34962	7833ac52ad1d55e89da3aaade2d59117e6e527722dfdff329234e02a0419e234	SENSITIVE_QUARANTINE	no	no		Credential-shaped release bundle or private duplicate evidence requires quarantine
